"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-08","65","74","56"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-09","63","69","57"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-10","74","87","62"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-11","72","78","66"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-12","76","87","66"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-13","79","88","69"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-14","72","82","63"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-15","64","76","52"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-16","66","79","53"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-17","70","83","58"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-18","74","83","65"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-19","75","87","63"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-20","72","82","62"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-21","70","79","60"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-22","70","80","60"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-23","72","78","65"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-24","77","88","65"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-25","76","86","67"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-26","73","87","60"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-27","64","74","55"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-28","62","71","53"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-29","63","69","58"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-30","71","82","60"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-08-31","66","78","54"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-01","62","73","50"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-02","60","67","54"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-03","60","72","48"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-04","57","69","45"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-05","57","64","50"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-06","64","74","54"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-07","61","71","51"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-08","60","67","52"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-09-09","65","71","60"
